fullname,html,id,likes,replies,retweets,text,timestamp,url,user,action
Nancy Close,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Still thinking about my <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Vicmoyyc/status/820497543150772226"" dir=""ltr"" href=""https://t.co/Su6jy8Wruz"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Vicmoyyc/status/820497543150772226""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Vicmoyyc/statu</span><span class=""invisible"">s/820497543150772226</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.21E+17,1,1,0,Still thinking about my #3thingsforcanada https://twitter.com/Vicmoyyc/status/820497543150772226 …,2017-01-15T19:28:26,/neclose/status/820714277421989888,neclose,n
BBBS PEI,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33798654"" dir=""ltr"" href=""/nenshi""><s>@</s><b>Nenshi</b></a> is challenging Canadians to give <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a>. Become a Mentor & make our community stronger for the next 150<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Cx8qJcizaf"">pic.twitter.com/Cx8qJcizaf</a></p>",8.20E+17,16,0,11,@Nenshi is challenging Canadians to give #3thingsforcanada for #Canada150. Become a Mentor & make our community stronger for the next 150pic.twitter.com/Cx8qJcizaf,2017-01-14T11:53:04,/BBBSPEI/status/820237293948698624,BBBSPEI,n
3 Things for Canada,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">So if the genome Thing overwhelms you a bit, start your <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> on a smaller, more neighbourhood scale. <a class=""twitter-timeline-link"" data-expanded-url=""http://www.threethingsforcanada.ca/"" dir=""ltr"" href=""https://t.co/NXF8L5Nlyy"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.threethingsforcanada.ca/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">threethingsforcanada.ca</span><span class=""invisible"">/</span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/cp24/status/819956575406354432"" dir=""ltr"" href=""https://t.co/PTIGB2Qxhw"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/cp24/status/819956575406354432""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/cp24/status/81</span><span class=""invisible"">9956575406354432</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.20E+17,1,0,1,"So if the genome Thing overwhelms you a bit, start your #3ThingsforCanada on a smaller, more neighbourhood scale. http://www.threethingsforcanada.ca/ https://twitter.com/cp24/status/819956575406354432 …",2017-01-13T17:47:10,/3ThingsCanada/status/819964015237443585,3ThingsCanada,n
Calgary Foundation,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">For Canada’s 150th birthday, let’s all give a gift of three things—three acts of service. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/community?src=hash""><s>#</s><b>community</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/nenshi/status/815690285095129089"" dir=""ltr"" href=""https://t.co/Oad9Fv9ijC"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/nenshi/status/815690285095129089""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/nenshi/status/</span><span class=""invisible"">815690285095129089</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.16E+17,13,0,8,"For Canada’s 150th birthday, let’s all give a gift of three things—three acts of service. #3ThingsforCanada #communityhttps://twitter.com/nenshi/status/815690285095129089 …",2017-01-03T22:42:10,/CalgFoundation/status/816414379541295104,CalgFoundation,n
3 Things for Canada,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Oh yay, talk like this gives us goosebumps... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jmsmallman/status/816364907566338048"" dir=""ltr"" href=""https://t.co/jjpqf7Y1uS"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jmsmallman/status/816364907566338048""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jmsmallman/sta</span><span class=""invisible"">tus/816364907566338048</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.16E+17,1,0,0,"Oh yay, talk like this gives us goosebumps... #3thingsforcanada https://twitter.com/jmsmallman/status/816364907566338048 …",2017-01-03T20:10:37,/3ThingsCanada/status/816376237870284800,3ThingsCanada,n
3 Things for Canada,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Whoo hoo! We'd love to hear about those 3 projects. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/philbobawsky/status/816011542537924608"" dir=""ltr"" href=""https://t.co/rMuEm1qAhk"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/philbobawsky/status/816011542537924608""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/philbobawsky/s</span><span class=""invisible"">tatus/816011542537924608</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.16E+17,1,0,0,Whoo hoo! We'd love to hear about those 3 projects. #3ThingsforCanada #Canada150https://twitter.com/philbobawsky/status/816011542537924608 …,2017-01-03T18:17:46,/3ThingsCanada/status/816347840179884033,3ThingsCanada,n
3 Things for Canada,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Here's a Thing for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Winnipeg?src=hash""><s>#</s><b>Winnipeg</b></a> - <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/2017canadagames/status/816328633027592193"" dir=""ltr"" href=""https://t.co/eo5wmDWTKc"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/2017canadagames/status/816328633027592193""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/2017canadagame</span><span class=""invisible"">s/status/816328633027592193</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.16E+17,3,0,3,Here's a Thing for #Winnipeg - #3ThingsforCanada #Canada150https://twitter.com/2017canadagames/status/816328633027592193 …,2017-01-03T18:14:54,/3ThingsCanada/status/816347119661379584,3ThingsCanada,n
DDS grade 3,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33798654"" dir=""ltr"" href=""/nenshi""><s>@</s><b>nenshi</b></a> Exporing our passions to find our <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/SCKTpweZuZ"">pic.twitter.com/SCKTpweZuZ</a></p>",8.16E+17,11,0,4,@nenshi Exporing our passions to find our #3ThingsforCanada pic.twitter.com/SCKTpweZuZ,2017-01-03T18:12:05,/grade3dds/status/816346409372827648,grade3dds,n
NorthernerAfoot,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Head's up philanthropists and non profits!! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philanthropy?src=hash""><s>#</s><b>philanthropy</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/abetterworld?src=hash""><s>#</s><b>abetterworld</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/albertastrong?src=hash""><s>#</s><b>albertastrong</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/AlbertaCulture/status/815981347340689408"" dir=""ltr"" href=""https://t.co/h17DggiLpA"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/AlbertaCulture/status/815981347340689408""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/AlbertaCulture</span><span class=""invisible"">/status/815981347340689408</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.16E+17,0,0,0,Head's up philanthropists and non profits!! #3thingsforcanada #philanthropy #abetterworld #albertastronghttps://twitter.com/AlbertaCulture/status/815981347340689408 …,2017-01-03T00:22:59,/AmLitUp/status/816077361397387264,AmLitUp,n
3 Things for Canada,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Say, got someThing big you want to get off the ground in Alberta to celebrate <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a>? Might be a grant for that. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/albertaculture/status/815981347340689408"" dir=""ltr"" href=""https://t.co/Yol2l2VIeF"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/albertaculture/status/815981347340689408""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/albertaculture</span><span class=""invisible"">/status/815981347340689408</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.16E+17,6,0,5,"Say, got someThing big you want to get off the ground in Alberta to celebrate #Canada150? Might be a grant for that. #3thingsforcanada https://twitter.com/albertaculture/status/815981347340689408 …",2017-01-03T00:07:29,/3ThingsCanada/status/816073459302207488,3ThingsCanada,n
